Country/Territory,Region,C/T?,Edition,Status,PR_Rating,CL_Rating,A,B,C,Add_Q,Add_A,PR,D,E,F,G,CL,Total
St. Kitts and Nevis,Americas,c,2006,F,1,1,12,16,10,0,0.0,38,15,12,12,14,53,91
St. Lucia,Americas,c,2006,F,1,1,12,16,10,0,0.0,38,15,12,12,14,53,91
St. Vincent and the Grenadines,Americas,c,2006,F,2,1,9,15,8,0,0.0,32,15,11,13,14,53,85
Sudan,SSA,c,2006,NF,7,7,0,4,1,4,0.0,1,4,1,0,1,6,7
Suriname,Americas,c,2006,F,2,2,12,13,8,0,0.0,33,15,11,9,10,45,78
Swaziland,SSA,c,2006,NF,7,5,0,1,0,0,0.0,1,8,3,4,5,20,21
Sweden,Europe,c,2006,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
Switzerland,Europe,c,2006,F,1,1,12,16,12,0,0.0,40,16,12,15,16,59,99
Syria,MENA,c,2006,NF,7,7,0,0,1,0,0.0,1,2,0,1,4,7,8
Taiwan,Asia,c,2006,F,1,1,11,15,10,0,0.0,36,16,11,15,13,55,91
Tajikistan,Eurasia,c,2006,NF,6,5,2,4,3,0,0.0,9,7,4,4,6,21,30
Tanzania,SSA,c,2006,PF,4,3,6,10,6,0,0.0,22,11,7,10,8,36,58
Thailand,Asia,c,2006,PF,3,3,9,12,8,0,0.0,29,11,8,8,11,38,67
The Gambia,SSA,c,2006,PF,5,4,6,7,4,0,0.0,17,10,6,8,8,32,49
Tibet,Asia,t,2006,NF,7,7,0,0,1,3,0.0,-2,0,0,0,5,5,3
Timor-Leste,Asia,c,2006,PF,3,3,11,10,8,0,0.0,29,13,8,8,9,38,67
Togo,SSA,c,2006,NF,6,5,2,3,2,0,0.0,7,7,3,1,7,18,25
Tonga,Asia,c,2006,PF,5,3,3,9,3,0,0.0,15,12,7,12,11,42,57
Transnistria,Eurasia,t,2006,NF,6,6,2,3,1,0,0.0,6,6,2,2,5,15,21
Trinidad and Tobago,Americas,c,2006,F,3,2,9,11,8,0,0.0,28,14,11,10,11,46,74
Tunisia,MENA,c,2006,NF,6,5,1,3,2,0,0.0,6,4,2,4,8,18,24
Turkey,Europe,c,2006,PF,3,3,9,12,7,0,0.0,28,12,7,8,10,37,65
Turkmenistan,Eurasia,c,2006,NF,7,7,0,0,0,0,0.0,0,1,0,0,0,1,1
Tuvalu,Asia,c,2006,F,1,1,12,15,10,0,0.0,37,16,12,15,14,57,94
Uganda,SSA,c,2006,PF,5,4,3,6,5,0,0.0,14,11,6,7,7,31,45
Ukraine,Eurasia,c,2006,F,3,2,8,12,7,0,0.0,27,13,10,11,11,45,72
United Arab Emirates,MENA,c,2006,NF,6,6,0,1,2,0,4.0,7,6,1,4,4,15,22
United Kingdom,Europe,c,2006,F,1,1,12,15,12,0,0.0,39,16,12,14,15,57,96
United States,Americas,c,2006,F,1,1,10,16,11,0,0.0,37,16,11,14,15,56,93
Uruguay,Americas,c,2006,F,1,1,12,16,11,0,0.0,39,16,12,15,15,58,97
Uzbekistan,Eurasia,c,2006,NF,7,7,0,0,0,0,0.0,0,1,0,0,2,3,3
Vanuatu,Asia,c,2006,F,2,2,9,15,8,0,0.0,32,16,11,10,11,48,80
Venezuela,Americas,c,2006,PF,4,4,10,8,5,0,0.0,23,11,7,5,8,31,54
Vietnam,Asia,c,2006,NF,7,5,0,1,1,0,0.0,2,3,2,4,8,17,19
Western Sahara,MENA,t,2006,NF,7,6,0,0,0,2,0.0,-2,3,2,0,5,10,8
Yemen,MENA,c,2006,PF,5,5,4,6,3,0,0.0,13,7,3,3,5,18,31
Zambia,SSA,c,2006,PF,4,4,5,11,6,0,0.0,22,11,8,8,7,34,56
Zimbabwe,SSA,c,2006,NF,7,6,1,4,0,0,0.0,5,5,3,1,1,10,15
