CountryID,Country_Name,WEBNAME,Region,World_Rank,Region_Rank,2021_Score,Property_Rights,Judical_Effectiveness,Government_Integrity,Tax_Burden,Gov't_Spending,Fiscal_Health,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom_,Financial_Freedom,Tariff_Rate_(%),Income_Tax_Rate_(%),Corporate_Tax_Rate_(%),Tax_Burden_%_of_GDP,Gov't_Expenditure_%_of_GDP_,Country,Population_(Millions),"GDP_(Billions,_PPP)",GDP_Growth_Rate_(%),5_Year_GDP_Growth_Rate_(%),GDP_per_Capita_(PPP),Unemployment_(%),Inflation_(%),FDI_Inflow_(Millions),Public_Debt_(%_of_GDP)
139,Saint Vincent and the Grenadines,SaintVincentGrenadines,Americas,59.0,9.0,66.3,48.1,66.3,48.7,74.9,71.6,87.6,74.2,74.0,82.6,57.8,70.0,40.0,13.6,30.0,30.0,26.7,30.762333333333334,Saint Vincent and the Grenadines,0.110589,1.381,0.4,1.358,12982.896388734951,18.9,0.906,113.06666662962962,70.5
140,Samoa,Samoa,Asia-Pacific,89.0,16.0,61.9,48.5,28.2,32.7,78.9,71.1,95.2,75.5,80.8,80.0,66.4,55.0,30.0,9.3,27.0,27.0,25.460185544525547,31.034333333333336,Samoa,0.197097,1.168,3.464,2.9276,6787.131425818168,8.4,2.188,1.0193295077016007,48.9
141,São Tomé and Príncipe,SaoTomePrincipe,Sub-Saharan Africa,129.0,24.0,55.9,36.8,23.3,39.5,88.4,79.7,74.6,62.8,43.2,67.0,65.2,60.0,30.0,9.9,20.0,25.0,11.59,25.986,São Tomé and Príncipe,0.215056,0.745,1.302,3.2342,4128.062158575999,13.4,8.356,57.4461655,95.7
142,Saudi Arabia,SaudiArabia,Middle East and North Africa,63.0,5.0,66.0,68.7,76.7,53.2,99.1,62.9,31.0,83.5,63.3,82.3,75.8,45.0,50.0,4.6,2.5,2.5,8.92574503531601,35.16433333333333,Saudi Arabia,34.268528,1900.89,0.331,1.56,48908.482377333865,5.9,-1.212,4562.0,22.8
143,Senegal,Senegal,Sub-Saharan Africa,111.0,16.0,58.0,50.3,37.8,43.6,72.4,84.2,72.2,53.5,36.6,79.0,66.4,60.0,40.0,9.3,40.0,30.0,16.184,22.970666666666663,Senegal,16.296364,64.101,5.287,6.356,3535.568779164455,6.6,1.02,983.3381540311043,64.2
144,Serbia,Serbia,Europe,54.0,30.0,67.2,57.9,50.6,45.0,92.5,49.6,94.6,71.0,67.3,81.1,77.2,70.0,50.0,6.4,10.0,15.0,20.702385187447668,40.99100000000001,Serbia,6.944975,130.222,4.187,3.1488,18989.03966428786,12.7,1.85,4280.663397814796,52.0
145,Seychelles,Seychelles,Sub-Saharan Africa,60.0,4.0,66.3,65.3,51.6,64.4,76.9,60.9,93.2,67.5,71.3,80.3,79.0,55.0,30.0,5.5,15.0,33.0,31.523,36.07966666666667,Seychelles,0.097625,3.06,3.901,4.301,30259.96102954427,,1.807,125.5396577,58.3
146,Sierra Leone,SierraLeone,Sub-Saharan Africa,150.0,34.0,51.7,42.3,45.7,30.5,86.7,85.9,39.7,49.6,30.1,65.1,64.6,60.0,20.0,12.7,15.0,30.0,14.36,21.691666666666666,Sierra Leone,7.813215,13.089,5.124,-0.35719999999999974,1789.5884309979504,4.4,14.803,367.6999999,60.5
147,Singapore,Singapore,Asia-Pacific,1.0,1.0,89.7,97.5,90.8,93.2,90.5,94.1,80.0,93.8,91.5,85.4,95.0,85.0,80.0,0.0,22.0,17.0,13.141717058607233,14.004,Singapore,5.703569,593.802,0.733,2.948,101375.775310612,4.1,0.565,92080.54773633591,111.8
148,Slovakia,Slovakia,Europe,61.0,33.0,66.3,71.5,44.4,48.8,78.4,47.0,93.4,55.6,52.2,74.8,84.0,75.0,70.0,3.0,25.0,21.0,33.05,42.04566666666667,Slovak Republic,5.454073,198.382,2.276,3.2592,34177.952759386164,5.6,2.767,2448.700295540032,48.2
